"state","t","begin","end","pollster","polltype","method","n_respondents","pct_clinton","n_clinton","pct_trump","n_trump","poll_day","index_s","index_p","index_m","index_pop","index_t"
"--",2016-07-14,2016-07-13,2016-07-16,"CNN","Registered Voters","Live phone component",872,0.531645569620253,366,0.468354430379747,323,136,52,19,1,3,136
"--",2016-07-15,2016-07-13,2016-07-18,"GQR","Likely Voters","Live phone component",900,0.518072289156627,387,0.481927710843373,360,137,52,37,1,2,137
"--",2016-07-15,2016-07-14,2016-07-16,"Morning Consult","Registered Voters","Online poll",2002,0.520547945205479,761,0.479452054794521,701,137,52,63,2,3,137
"--",2016-07-15,2016-07-14,2016-07-16,"Monmouth University","Registered Voters","Live phone component",805,0.518072289156627,346,0.481927710843373,322,137,52,61,1,3,137
"--",2016-07-16,2016-07-15,2016-07-17,"YouGov","Registered Voters","Online poll",1056,0.519480519480519,422,0.480519480519481,391,138,52,103,2,3,138
"--",2016-07-18,2016-07-18,2016-07-19,"Rasmussen","Likely Voters","Other",1000,0.494117647058824,420,0.505882352941176,430,140,52,81,3,2,140
"--",2016-07-18,2016-07-16,2016-07-20,"Ipsos","Registered Voters","Online poll",1232,0.527027027027027,480,0.472972972972973,431,140,52,46,2,3,140
"--",2016-07-18,2016-07-17,2016-07-20,"ARG","Registered Voters","Live phone component",990,0.505882352941176,426,0.494117647058824,416,140,52,5,1,3,140
"--",2016-07-21,2016-07-18,2016-07-24,"NBC","Registered Voters","Online poll",12931,0.4875,5043,0.5125,5302,143,52,65,2,3,143
"--",2016-07-21,2016-07-21,2016-07-22,"Gravis Marketing","Registered Voters","Other",3462,0.49,1696,0.51,1766,143,52,38,3,3,143
"--",2016-07-22,2016-07-22,2016-07-22,"RABA Research","Likely Voters","Online poll",909,0.534246575342466,355,0.465753424657534,309,144,52,80,2,2,144
"--",2016-07-22,2016-07-21,2016-07-24,"University of Delaware","Registered Voters","Live phone component",818,0.522727272727273,376,0.477272727272727,344,144,52,95,1,3,144
"--",2016-07-23,2016-07-22,2016-07-24,"Penn Schoen Berland","Likely Voters","Online poll",1000,0.482352941176471,410,0.517647058823529,440,145,52,71,2,2,145
"--",2016-07-23,2016-07-22,2016-07-24,"Morning Consult","Registered Voters","Online poll",2502,0.473684210526316,901,0.526315789473684,1001,145,52,63,2,3,145
"--",2016-07-23,2016-07-23,2016-07-24,"YouGov","Registered Voters","Online poll",1057,0.512820512820513,423,0.487179487179487,402,145,52,103,2,3,145
"--",2016-07-23,2016-07-22,2016-07-24,"CBS","Registered Voters","Live phone component",1118,0.493670886075949,436,0.506329113924051,447,145,52,13,1,3,145
"--",2016-07-23,2016-07-22,2016-07-24,"CNN","Registered Voters","Live phone component",882,0.469879518072289,344,0.530120481927711,388,145,52,19,1,3,145
"--",2016-07-26,2016-07-26,2016-07-27,"Rasmussen","Likely Voters","Other",1000,0.505882352941176,430,0.494117647058824,420,148,52,81,3,2,148
"--",2016-07-27,2016-07-25,2016-07-29,"Ipsos","Likely Voters","Online poll",1433,0.5,530,0.5,530,149,52,46,2,2,149
"--",2016-07-28,2016-07-25,2016-07-31,"UPI","Likely Voters","Online poll",989,0.515789473684211,485,0.484210526315789,455,150,52,96,2,2,150
"--",2016-07-28,2016-07-25,2016-07-31,"NBC","Registered Voters","Online poll",12742,0.530864197530864,5479,0.469135802469136,4842,150,52,65,2,3,150
"--",2016-07-29,2016-07-29,2016-07-29,"RABA Research","Likely Voters","Online poll",956,0.597402597402597,440,0.402597402597403,296,151,52,80,2,2,151
"--",2016-07-29,2016-07-29,2016-07-30,"PPP","Likely Voters","Other",1276,0.528735632183908,587,0.471264367816092,523,151,52,75,3,2,151
"--",2016-07-29,2016-07-29,2016-07-30,"Morning Consult","Registered Voters","Online poll",1931,0.532467532467532,792,0.467532467532468,695,151,52,63,2,3,151
"--",2016-07-30,2016-07-29,2016-08-01,"Penn Schoen Berland","Likely Voters","Online poll",1000,0.529411764705882,450,0.470588235294118,400,152,52,71,2,2,152
"--",2016-07-30,2016-07-29,2016-07-31,"CBS","Registered Voters","Live phone component",1131,0.530864197530864,486,0.469135802469136,430,152,52,13,1,3,152
"--",2016-07-30,2016-07-29,2016-07-31,"CNN","Registered Voters","Live phone component",894,0.548780487804878,402,0.451219512195122,331,152,52,19,1,3,152
"--",2016-07-31,2016-07-30,2016-08-01,"YouGov","Registered Voters","Online poll",1069,0.532467532467532,438,0.467532467532468,385,153,52,103,2,3,153
"--",2016-08-01,2016-07-30,2016-08-03,"Ipsos","Likely Voters","Online poll",1072,0.525,450,0.475,407,154,52,46,2,2,154
"--",2016-08-01,2016-08-01,2016-08-02,"Rasmussen","Likely Voters","Other",1000,0.523809523809524,440,0.476190476190476,400,154,52,81,3,2,154
"--",2016-08-01,2016-07-29,2016-08-04,"IBD","Registered Voters","Live phone component",851,0.527027027027027,332,0.472972972972973,298,154,52,43,1,3,154
"--",2016-08-01,2016-07-31,2016-08-03,"NBC","Registered Voters","Live phone component",800,0.558441558441558,344,0.441558441558442,272,154,52,65,1,3,154
"--",2016-08-01,2016-07-31,2016-08-02,"FOX","Registered Voters","Live phone component",1022,0.556962025316456,450,0.443037974683544,358,154,52,33,1,3,154
"--",2016-08-02,2016-08-01,2016-08-04,"ABC","Likely Voters","Live phone component",682,0.546511627906977,321,0.453488372093023,266,155,52,1,1,2,155
"--",2016-08-02,2016-08-01,2016-08-03,"McClatchy","Registered Voters","Live phone component",983,0.592105263157895,442,0.407894736842105,305,155,52,56,1,3,155
"--",2016-08-02,2016-07-27,2016-08-09,"Public Religion Research Institute","Registered Voters","Live phone component",1803,0.571428571428571,865,0.428571428571429,649,155,52,77,1,3,155
"--",2016-08-04,2016-08-01,2016-08-07,"UPI","Likely Voters","Online poll",960,0.526881720430108,470,0.473118279569892,422,157,52,96,2,2,157
"--",2016-08-04,2016-08-04,2016-08-05,"Morning Consult","Registered Voters","Online poll",2001,0.554054054054054,820,0.445945945945946,660,157,52,63,2,3,157
"--",2016-08-04,2016-08-01,2016-08-07,"NBC","Registered Voters","Online poll",11480,0.536585365853659,5051,0.463414634146341,4362,157,52,65,2,3,157
"--",2016-08-05,2016-08-04,2016-08-07,"Monmouth University","Likely Voters","Live phone component",683,0.574712643678161,342,0.425287356321839,253,158,52,61,1,2,158
"--",2016-08-05,2016-08-04,2016-08-07,"PSRAI","Registered Voters","Live phone component",798,0.535714285714286,359,0.464285714285714,311,158,52,76,1,3,158
"--",2016-08-06,2016-08-05,2016-08-08,"Bloomberg","Likely Voters","Live phone component",749,0.523809523809524,330,0.476190476190476,300,159,52,11,1,2,159
"--",2016-08-07,2016-08-06,2016-08-09,"YouGov","Registered Voters","Online poll",1026,0.538461538461538,431,0.461538461538462,369,160,52,103,2,3,160
"--",2016-08-08,2016-08-06,2016-08-10,"Ipsos","Likely Voters","Online poll",974,0.533333333333333,390,0.466666666666667,341,161,52,46,2,2,161
"--",2016-08-09,2016-08-09,2016-08-10,"Rasmussen","Likely Voters","Other",1000,0.518072289156627,430,0.481927710843373,400,162,52,81,3,2,162
"--",2016-08-11,2016-08-08,2016-08-14,"UPI","Likely Voters","Online poll",975,0.53125,497,0.46875,439,164,52,96,2,2,164
