n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
7,true,0.09617874755161408,-901645.9818196886,909281.0353413546,0.0,4183.631323956419,2,true,0.0367855584461204,0.0367855584461204,true
1023,true,0.9988891371599626,-901624.4629280157,908903.5638686548,-3.621040377765894e-5,0.005768921924754977,10,false,0.0045768404747846,0.0045768404747846,true
511,true,0.9729550288357517,-901642.8266727845,909062.2636371414,0.019689574954099953,0.06883801275398582,9,false,0.008507781224555405,0.008507781224555405,true
511,true,0.821324170488621,-901589.0775521372,908925.4734920766,0.3830363309243694,0.48936058301478624,9,false,0.01451340422775927,0.01451340422775927,true
255,true,0.9800498118782943,-901558.2946769443,908886.9157563122,-0.4802672649966553,-0.5464950202731416,8,false,0.015796072499165856,0.015796072499165856,true
255,true,0.6401210176658122,-901559.1138947557,908896.0501506155,0.19469997566193342,1.2300979528808966,8,false,0.027131039787885825,0.027131039787885825,true
255,true,0.9970220491185917,-901573.7057866538,908903.5723855841,-0.1717761360341683,-0.1717761360341683,8,false,0.017484744661189607,0.017484744661189607,true
27,true,0.010840524255494864,-901573.7057866538,908897.77659208,0.0,1234.5026875660988,4,true,0.031206005286918914,0.031206005286918914,true
1023,true,0.9950339514816464,-901577.6900379825,908883.5448102129,0.001570420223288238,0.01088344887830317,10,false,0.003456429720556484,0.003456429720556484,true
1023,true,0.9607320732577702,-901646.4131210884,908921.1787712213,0.043356187641620636,0.0862886372487992,10,false,0.006159986184515365,0.006159986184515365,true
511,true,0.9983526808230034,-901640.1217174698,909009.6000536444,-0.0992917672265321,-0.1283503231825307,9,false,0.009890272390481366,0.009890272390481366,true
255,true,0.9978768159158555,-901617.737509006,908995.7118352274,-0.00859607313759625,-0.0818068296648562,8,false,0.01746491532487746,0.01746491532487746,true
127,true,0.17863581482234855,-901561.9460669502,908952.9342962896,0.02596465137321502,11.914327688980848,7,false,0.030512804637410452,0.030512804637410452,true
1023,true,0.9989338447819263,-901561.0157937871,908860.2549815776,0.0008010991150513291,-0.00969045131932944,10,false,0.005813148545541676,0.005813148545541676,true
511,true,0.9548191822040291,-901690.9718993984,908996.2660108237,0.08122891548555344,0.12150097568519413,9,false,0.010183007404982363,0.010183007404982363,true
